Port,Rate
465/tcp,1
47001/tcp,1
475/tcp,1
5000/tcp,1
5001/tcp,1
5004/tcp,1
5005/tcp,1
5010/tcp,1
5037/tcp,1
5051/tcp,1
5060/tcp,1
5061/tcp,1
5099/tcp,1
513/tcp,1
514/tcp,1
515/tcp,1
520/tcp,1
5223/tcp,1
5242/tcp,1
5243/tcp,1
53/tcp,1
530/tcp,1
5355/tcp,1
5357/tcp,1
5358/tcp,1
543/tcp,1
5432/tcp,1
544/tcp,1
546/tcp,1
547/tcp,1
548/tcp,1
5480/tcp,1
5481/tcp,1
554/tcp,1
5631/tcp,1
5656/tcp,1
5666/tcp,1
5667/tcp,1
5718/tcp,1
5719/tcp,1
5722/tcp,1
5723/tcp,1
5724/tcp,1
5800/tcp,1
587/tcp,1
5900/tcp,1
593/tcp,1
5931/tcp,1
5938/tcp,1
5985/tcp,1
5986/tcp,1
6005/tcp,1
601/tcp,1
6101/tcp,1
631/tcp,1
636/tcp,1
639/tcp,1
647/tcp,1
6514/tcp,1
660/tcp,1
6600/tcp,1
6601/tcp,1
6602/tcp,1
6653/tcp,1
691/tcp,1
694/tcp,1
7005/tcp,1
7006/tcp,1
7025/tcp,1
7047/tcp,1
7070/tcp,1
7306/tcp,1
7307/tcp,1
749/tcp,1
751/tcp,1
754/tcp,1
760/tcp,1
80/tcp,1
8005/tcp,1
8008/tcp,1
808/tcp,1
8080/tcp,1
8089/tcp,1
8172/tcp,1
8222/tcp,1
829/tcp,1
8291/tcp,1
8333/tcp,1
843/tcp,1
8443/tcp,1
847/tcp,1
8530/tcp,1
8531/tcp,1
860/tcp,1
8642/tcp,1
873/tcp,1
88/tcp,1
8834/tcp,1
888/tcp,1
8880/tcp,1
8888/tcp,1
897/tcp,1
898/tcp,1
9/tcp,1
9001/tcp,1
902/tcp,1
903/tcp,1
9043/tcp,1
9050/tcp,1
9051/tcp,1
9091/tcp,1
9101/tcp,1
9102/tcp,1
9103/tcp,1
9150/tcp,1
9200/tcp,1
9389/tcp,1
9443/tcp,1
953/tcp,1
9785/tcp,1
981/tcp,1
987/tcp,1
989/tcp,1
990/tcp,1
992/tcp,1
993/tcp,1
995/tcp,1
